Speed,instance,QS phase,intercept,stiffness,MSE,R2,inverted
Subject4,1.525374,CP,-0.021,-0.391,0.0,0.517,False
Subject4,1.525374,ERP,0.264,2.048,0.001,0.977,False
Subject4,1.525374,LRP,-0.608,9.415,0.0,0.995,False
Subject4,1.525374,DP,0.874,2.125,0.0,0.999,False
Subject4,1.54301,CP,-0.033,0.256,0.0,0.286,False
Subject4,1.54301,ERP,0.102,1.777,0.001,0.956,False
Subject4,1.54301,LRP,0.201,-0.033,0.0,0.766,True
Subject4,1.54301,DP,0.882,2.585,0.0,0.999,False
Subject4,1.550904,CP,-0.007,-0.092,0.0,0.171,False
Subject4,1.550904,ERP,-0.033,0.098,0.0,0.793,True
Subject4,1.550904,LRP,0.157,2.848,0.002,0.935,False
Subject4,1.550904,DP,0.14,0.001,0.0,0.001,True
Subject5,0.844706,CP,-0.034,0.69,0.0,0.98,False
Subject5,0.844706,ERP,-0.052,0.992,0.001,0.857,False
Subject5,0.844706,LRP,-1.185,10.441,0.002,0.983,False
Subject5,0.844706,DP,0.768,2.093,0.007,0.975,False
Subject5,0.853693,CP,-0.036,0.384,0.0,0.971,False
Subject5,0.853693,ERP,0.045,1.652,0.008,0.761,False
Subject5,0.853693,LRP,-1.459,14.176,0.002,0.966,False
Subject5,0.853693,DP,0.9,2.235,0.005,0.979,False
Subject5,0.859974,CP,-0.042,0.463,0.0,0.961,False
Subject5,0.859974,ERP,-0.067,2.182,0.014,0.806,False
Subject5,0.859974,LRP,-1.559,9.755,0.002,0.934,False
Subject5,0.859974,DP,0.535,2.099,0.012,0.936,False
Subject5,0.8656729999999999,CP,-0.048,0.418,0.0,0.977,False
Subject5,0.8656729999999999,ERP,-0.097,1.889,0.014,0.791,False
Subject5,0.8656729999999999,LRP,-1.244,7.014,0.001,0.975,False
Subject5,0.8656729999999999,DP,0.416,2.011,0.007,0.962,False
Subject5,0.865984,CP,-0.043,0.754,0.0,0.828,False
Subject5,0.865984,ERP,-0.079,1.122,0.002,0.854,False
Subject5,0.865984,LRP,-1.353,9.156,0.001,0.992,False
Subject5,0.865984,DP,0.714,2.004,0.005,0.979,False
Subject5,0.870985,CP,-0.05,0.686,0.0,0.96,False
Subject5,0.870985,ERP,-0.095,1.554,0.006,0.831,False
Subject5,0.870985,LRP,-1.321,7.705,0.0,0.994,False
Subject5,0.870985,DP,0.527,1.775,0.01,0.946,False
Subject5,0.953508,CP,-0.045,0.79,0.0,0.981,False
Subject5,0.953508,ERP,-0.087,2.131,0.01,0.767,False
Subject5,0.953508,LRP,-1.349,10.232,0.0,0.993,False
Subject5,0.953508,DP,0.726,2.384,0.011,0.965,False
Subject5,0.964317,CP,-0.066,0.661,0.0,0.955,False
Subject5,0.964317,ERP,-0.058,2.525,0.014,0.835,False
Subject5,0.964317,LRP,-1.072,7.987,0.0,0.987,False
