[2020-08-22 16:38:16.421] [info] Processing subject S01_scaled...
[2020-08-22 16:38:16.421] [info] Step 1: Loading generic model
[2020-08-22 16:38:16.508] [info] Loaded model FullBodyModel_MuscleActuatedLowerLimb_TorqueActuatedUpperBody from file /home/nikorose/Documents/DJS-GA/C3D/Gait_rawdata_c3d/osim_files_S01/custom_model.osim
[2020-08-22 16:38:16.510] [warning] Couldn't find file 'r_pelvis.vtp'.
[2020-08-22 16:38:16.510] [warning] Couldn't find file 'l_pelvis.vtp'.
[2020-08-22 16:38:16.510] [warning] Couldn't find file 'sacrum.vtp'.
[2020-08-22 16:38:16.510] [warning] Couldn't find file 'r_femur.vtp'.
[2020-08-22 16:38:16.510] [warning] Couldn't find file 'r_tibia.vtp'.
[2020-08-22 16:38:16.510] [warning] Couldn't find file 'r_fibula.vtp'.
[2020-08-22 16:38:16.510] [warning] Couldn't find file 'r_patella.vtp'.
[2020-08-22 16:38:16.510] [warning] Couldn't find file 'r_talus.vtp'.
[2020-08-22 16:38:16.510] [warning] Couldn't find file 'r_foot.vtp'.
[2020-08-22 16:38:16.510] [warning] Couldn't find file 'r_bofoot.vtp'.
[2020-08-22 16:38:16.510] [warning] Couldn't find file 'l_femur.vtp'.
[2020-08-22 16:38:16.510] [warning] Couldn't find file 'l_tibia.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'l_fibula.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'l_patella.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'l_talus.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'l_foot.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'l_bofoot.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'hat_spine.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'hat_jaw.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'hat_skull.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'hat_ribs_scap.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'humerus_rv.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'ulna_rv.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'radius_rv.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'pisiform_rvs.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'lunate_rvs.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'scaphoid_rvs.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'triquetrum_rvs.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'hamate_rvs.vtp'.
[2020-08-22 16:38:16.511] [warning] Couldn't find file 'capitate_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'trapezoid_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'trapezium_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'metacarpal2_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'index_proximal_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'index_medial_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'index_distal_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'metacarpal3_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'middle_proximal_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'middle_medial_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'middle_distal_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'metacarpal4_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'ring_proximal_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'ring_medial_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'ring_distal_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'metacarpal5_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'little_proximal_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'little_medial_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'little_distal_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'metacarpal1_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'thumb_proximal_rvs.vtp'.
[2020-08-22 16:38:16.512] [warning] Couldn't find file 'thumb_distal_rvs.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'humerus_lv.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'ulna_lv.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'radius_lv.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'pisiform_lvs.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'lunate_lvs.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'scaphoid_lvs.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'triquetrum_lvs.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'hamate_lvs.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'capitate_lvs.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'trapezoid_lvs.vtp'.
