,point 0,point 1,point 2,point 3,point 4
S42_0021_Gait,5,30,48,66,83
S43_0002_Gait,7,26,48,65,84
S43_0003_Gait,7,24,47,65,86
S43_0004_Gait,7,24,47,65,84
S43_0005_Gait,7,24,47,64,84
S43_0006_Gait,5,23,47,65,82
S43_0007_Gait,6,22,46,64,81
S43_0008_Gait,7,24,47,65,87
S43_0009_Gait,7,24,45,65,90
S43_0010_Gait,7,23,46,65,83
S43_0011_Gait,8,26,47,64,84
S43_0012_Gait,6,22,46,64,85
S43_0013_Gait,8,24,47,65,85
S43_0014_Gait,8,24,48,65,84
S43_0015_Gait,6,24,45,65,87
S43_0016_Gait,8,26,47,64,83
S43_0017_Gait,7,24,44,64,84
S43_0018_Gait,8,24,46,64,93
S43_0019_Gait,7,23,46,65,87
S43_0020_Gait,8,30,47,65,86
S43_0021_Gait,6,23,47,65,90
S44_0002_Gait,9,25,49,66,83
S44_0003_Gait,8,25,48,66,88
S44_0004_Gait,10,27,49,66,87
S44_0005_Gait,8,24,48,66,85
S44_0006_Gait,9,25,48,65,89
S44_0008_Gait,8,26,49,65,93
S44_0009_Gait,8,25,47,65,88
S44_0010_Gait,7,24,48,65,88
S44_0011_Gait,9,25,48,65,89
S44_0012_Gait,7,24,47,65,87
S44_0013_Gait,8,26,47,64,89
S44_0014_Gait,8,25,47,65,87
S44_0015_Gait,6,23,48,65,94
S44_0016_Gait,9,25,48,65,87
S44_0017_Gait,9,25,49,66,87
S44_0018_Gait,9,25,50,66,83
S44_0019_Gait,8,25,48,66,88
S44_0020_Gait,8,25,48,66,85
S44_0021_Gait,8,24,47,65,86
S44_0022_Gait,7,23,47,65,86
S45_0002_Gait,7,23,50,67,86
S45_0003_Gait,7,24,49,66,87
S45_0004_Gait,5,22,48,66,93
S45_0006_Gait,6,26,47,65,87
S45_0007_Gait,5,21,47,65,88
S45_0008_Gait,5,22,48,66,86
S45_0009_Gait,7,24,49,66,84
S45_0010_Gait,5,27,48,66,86
S45_0011_Gait,5,21,48,65,85
S45_0012_Gait,6,22,49,66,86
S45_0013_Gait,5,25,49,67,86
S45_0014_Gait,5,25,49,66,84
S45_0015_Gait,6,23,49,67,87
S45_0017_Gait,6,25,49,67,87
S45_0018_Gait,5,22,49,67,84
S45_0019_Gait,5,22,48,66,86
S45_0020_Gait,6,24,50,66,82
S45_0021_Gait,6,23,49,66,86
S45_0022_Gait,6,22,49,66,86
